name, maxlevel, text
"NWS_PriorityBombers"           , 1, "SWAT:老兵:优先解决爆炸袭击者"
"NWS_LeaderBonus"               , 1, "SWAT:老兵:领导力"
"NWS_CloseDamageReduction"      , 1, "SWAT:老兵:战斗姿态"
"NWS_MilitiaTraining"           , 1, "SWAT:老兵:民兵训练"
"NWS_MassFires"                 , 1, "SWAT:老兵:集中射击"
"CIA_ShortRangeDrills"          , 1, "CIA:手枪:近距离速度训练"
"CIA_DoubleTap"                 , 2, "CIA:手枪:双发速射"
"CIA_ShortRangeCrit"            , 2, "CIA:手枪:近距离精准射击训练"
"CIA_MediumRangeAccuracy"       , 1, "CIA:手枪:中距离精准射击"
"CIA_MediumRangeAimSpeed"       , 1, "CIA:手枪:中距离瞄准速度"
"CIA_Retention"                 , 1, "CIA:手枪:近身射击"
"CIA_QuickDraw"                 , 2, "CIA:手枪:快速拔枪"
"CIA_DrawFromConcealment"       , 1, "CIA:手枪:隐蔽拔枪"
"CIA_Transition"                , 1, "CIA:手枪:切换武器"
"CIA_Reload"                    , 3, "CIA:手枪:战术换弹"
"CIA_RiflesReload"              , 3, "CIA:步枪:步枪换弹"
"CIA_RiflesShortRangeAimSpeed"  , 2, "CIA:步枪:近距离速度训练"
"CIA_Bursts"                    , 1, "CIA:步枪:连发训练"
"CIA_RiflesShortRangeCrit"      , 1, "CIA:步枪:近距离精准射击训练"
"CIA_RiflesMediumRangeAccuracy" , 3, "CIA:步枪:中距离精准射击"
"CIA_FastFire"                  , 1, "CIA:步枪:快速射击"
"CIA_RiflesMediumRangeAimSpeed" , 3, "CIA:步枪:中距离瞄准速度"
"CIA_MRFastFire"                , 1, "CIA:步枪:中距离快速射击"
"CIA_EasternBlocWeapons"        , 1, "CIA:步枪:敌方武器"
"CIA_RiflesLongRange"           , 2, "CIA:步枪:远距离专精"
"CIA_Barricade"                 , 1, "CIA:步枪:掩体射击"
"CIA_ShortStoking"              , 1, "CIA:步枪:枪托训练"
"CIA_Ambush"                    , 1, "CIA:步枪:伏击"
"CIA_Execution"                 , 1, "CIA:步枪:死亡射击"
"CIA_Speedy"                    , 2, "CIA:步枪:速度即生命"
"CIA_Disguises"                 , 1, "CIA:潜行:改进伪装"
"CIA_ConcealRig"                , 1, "CIA:潜行:隐蔽"
"CIA_LocalCustoms"              , 2, "CIA:潜行:当地习俗"
"CIA_HumintNetwork"             , 2, "CIA:潜行:人力情报网络"
"CIA_AdvancedIntel"             , 2, "CIA:潜行:高级情报网络"
"CIA_Language"                  , 1, "CIA:潜行:基础语言"
"CIA_AdvancedLanguage"          , 1, "CIA:潜行:高级语言"
"CIA_Persuasion"                , 1, "CIA:潜行:说服技巧"
"CIA_Hand2Hand"                 , 1, "CIA:潜行:近身格斗"
